Sample Number,Year,Area,Vessel,Pot,Sex,Legal,Carapace length,Carapace width,Coxa walking leg 1 RIGHT,Coxa walking leg 2 RIGHT,Coxa walking leg 3 RIGHT,Coxa walking leg 1 LEFT,Coxa walking leg 2 LEFT,Coxa walking leg 3 LEFT,Comments,QC,Data Recorder,Samplers,CW Size Bin
123,2017,Excursion,Medeia,,M,Sublegal,65,75,13,13,13,13,14,13,,,,,<100
21,2025,Juneau,Medeia,3,M,Sublegal,82,94,16,15,16,15,15,15,,AGR,SYW,"AGR, SM, TJ",<100
28,2025,Juneau,Medeia,4,M,Sublegal,87,97,16,17,16,16,15,17,,AGR,SYW,"AGR, SM, TJ",<100
52,2025,Juneau,Medeia,5,M,Sublegal,82,100,15,17,17,16,17,16,regenerated left leg,AGR,SYW,"AGR, SM, TJ",100-109
47,2025,Juneau,Medeia,5,M,Sublegal,88,102,17,17,18,17,17,18,,AGR,SYW,"AGR, SM, TJ",100-109
164,2025,Juneau,Medeia,10,M,Sublegal,88,102,16,17,17,17,17,17,,TJ,SYW,"AGR, SM, TJ",100-109
166,2025,Juneau,Medeia,10,M,Sublegal,89,102,16,16,15,17,17,16,,TJ,SYW,"AGR, SM, TJ",100-109
163,2017,Excursion,Medeia,,M,Sublegal,85,103,16,17,17,18,18,17,,,,,100-109
17,2025,Juneau,Medeia,3,M,Sublegal,88,103,16,16,16,16,16,18,,AGR,SYW,"AGR, SM, TJ",100-109
19,2025,Juneau,Medeia,3,M,Sublegal,88,103,16,15,17,15,16,18,,AGR,SYW,"AGR, SM, TJ",100-109
35,2025,Juneau,Medeia,5,M,Sublegal,84,103,16,18,16,15,16,15,,AGR,SYW,"AGR, SM, TJ",100-109
55,2025,Juneau,Medeia,5,M,Sublegal,90,103,17,18,19,17,18,19,,AGR,SYW,"AGR, SM, TJ",100-109
75,2025,Juneau,Medeia,6,M,Sublegal,100,103,19,19,20,19,19,20,,AGR,SYW,"AGR, SM, TJ",100-109
89,2025,Juneau,Medeia,6,M,Sublegal,89,103,16,17,17,16,17,17,,AGR,SYW,"AGR, SM, TJ",100-109
165,2025,Juneau,Medeia,10,M,Sublegal,90,103,18,18,18,18,18,18,,TJ,SYW,"AGR, SM, TJ",100-109
10,2025,Juneau,Medeia,3,M,Sublegal,93,104,19,20,18,18,20,18,,AGR,SYW,"AGR, SM, TJ",100-109
43,2025,Juneau,Medeia,5,M,Sublegal,90,104,18,18,18,18,18,18,,AGR,SYW,"AGR, SM, TJ",100-109
15,2025,Juneau,Medeia,3,M,Sublegal,90,105,17,18,18,17,17,18,,AGR,SYW,"AGR, SM, TJ",100-109
26,2025,Juneau,Medeia,4,M,Sublegal,91,105,17,17,18,17,18,16,,AGR,SYW,"AGR, SM, TJ",100-109
163,2025,Juneau,Medeia,10,M,Sublegal,92,105,17,18,18,18,18,18,,TJ,SYW,"AGR, SM, TJ",100-109
159,2017,Excursion,Medeia,,M,Sublegal,89,106,19,20,19,19,20,19,,,,,100-109
26,2017,Peril Strait,Medeia,,M,Sublegal,88,106,20,19,19,19,20,19,,,,,100-109
81,2025,Juneau,Medeia,6,M,Sublegal,90,106,17,18,18,18,17,17,,AGR,SYW,"AGR, SM, TJ",100-109
157,2025,Juneau,Medeia,9,M,Sublegal,94,106,18,17,14,18,18,19,,TJ,SYW,"AGR, SM, TJ",100-109
27,2025,Juneau,Medeia,4,M,Sublegal,91,107,17,18,17,17,17,18,,AGR,SYW,"AGR, SM, TJ",100-109
39,2025,Juneau,Medeia,5,M,Sublegal,93,107,17,17,18,17,17,18,,AGR,SYW,"AGR, SM, TJ",100-109
164,2017,Excursion,Medeia,,M,Sublegal,88,108,20,20,19,20,21,20,,,,,100-109
23,2017,Peril Strait,Medeia,,M,Sublegal,90,108,19,20,20,19,20,20,,,,,100-109
100,2025,Juneau,Medeia,7,M,Sublegal,95,108,17,18,17,18,18,19,,AGR,SYW,"AGR, SM, TJ",100-109
149,2025,Juneau,Medeia,9,M,Sublegal,92,108,18,18,18,18,19,20,,AGR,SYW,"AGR, SM, TJ",100-109
155,2025,Juneau,Medeia,9,M,Sublegal,98,108,19,19,20,19,20,20,,TJ,SYW,"AGR, SM, TJ",100-109
166,2017,Excursion,Medeia,,M,Sublegal,91,109,20,21,19,19,20,19,,,,,100-109
22,2017,Peril Strait,Medeia,,M,Sublegal,89,109,20,21,19,20,21,19,,,,,100-109
25,2025,Juneau,Medeia,4,M,Sublegal,94,109,17,18,19,17,20,18,,AGR,SYW,"AGR, SM, TJ",100-109
93,2025,Juneau,Medeia,7,M,Sublegal,93,109,17,17,18,19,18,19,,AGR,SYW,"AGR, SM, TJ",100-109
548,2025,St James Bay,Medeia,13,M,Sublegal,91,109,17,17,18,17,18,19,,,,,100-109
562,2025,St James Bay,Medeia,14,M,Sublegal,94,109,18,20,18,18,18,20,,,,,100-109
181,2017,St James Bay,Medeia,,M,Sublegal,94,110,19,20,20,20,21,20,,,,,110-119
11,2025,Juneau,Medeia,3,M,Sublegal,94,110,18,19,19,18,18,19,,AGR,SYW,"AGR, SM, TJ",110-119
48,2025,Juneau,Medeia,5,M,Sublegal,92,110,18,19,18,19,18,19,,AGR,SYW,"AGR, SM, TJ",110-119
119,2025,Juneau,Medeia,7,M,Sublegal,96,110,19,19,19,19,20,20,,AGR,SYW,"AGR, SM, TJ",110-119
150,2025,Juneau,Medeia,9,M,Sublegal,93,110,18,18,19,18,18,18,,AGR,SYW,"AGR, SM, TJ",110-119
6,2025,Juneau,Medeia,3,M,Sublegal,105,111,18,18,19,19,20,20,,AGR,SYW,"AGR, SM, TJ",110-119
91,2025,Juneau,Medeia,6,M,Sublegal,92,111,18,17,18,18,18,18,,AGR,SYW,"AGR, SM, TJ",110-119
113,2025,Juneau,Medeia,7,M,Sublegal,92,111,18,19,19,18,20,20,,AGR,SYW,"AGR, SM, TJ",110-119
116,2025,Juneau,Medeia,7,M,Sublegal,92,111,17,18,18,16,17,18,,AGR,SYW,"AGR, SM, TJ",110-119
152,2025,Juneau,Medeia,9,M,Sublegal,100,111,19,20,20,19,19,19,,TJ,SYW,"AGR, SM, TJ",110-119
74,2025,Juneau,Medeia,6,M,Sublegal,96,112,19,19,19,19,18,20,,AGR,SYW,"AGR, SM, TJ",110-119
82,2025,Juneau,Medeia,6,M,Sublegal,96,112,18,18,18,18,18,19,,AGR,SYW,"AGR, SM, TJ",110-119
85,2025,Juneau,Medeia,6,M,Sublegal,95,112,19,18,18,19,19,19,,AGR,SYW,"AGR, SM, TJ",110-119
80,2025,Juneau,Medeia,6,M,Sublegal,95,113,18,18,19,18,19,19,,AGR,SYW,"AGR, SM, TJ",110-119
104,2025,Juneau,Medeia,7,M,Sublegal,97,113,19,19,20,18,19,20,,AGR,SYW,"AGR, SM, TJ",110-119
106,2025,Juneau,Medeia,7,M,Sublegal,96,113,18,18,19,18,18,18,,AGR,SYW,"AGR, SM, TJ",110-119
141,2025,Juneau,Medeia,9,M,Sublegal,97,113,18,19,19,19,19,19,,AGR,SYW,"AGR, SM, TJ",110-119
141,2017,Excursion,Medeia,,M,Sublegal,95,114,20,20,21,20,21,20,,,,,110-119
3,2025,Juneau,Medeia,3,M,Sublegal,96,114,18,18,18,18,18,19,,AGR,SYW,"AGR, SM, TJ",110-119
65,2025,Juneau,Medeia,6,M,Sublegal,102,114,19,20,20,20,20,20,,AGR,SYW,"AGR, SM, TJ",110-119
67,2025,Juneau,Medeia,6,M,Sublegal,95,114,19,19,19,19,19,19,,AGR,SYW,"AGR, SM, TJ",110-119
92,2025,Juneau,Medeia,6,M,Sublegal,96,114,17,19,17,17,19,19,,AGR,SYW,"AGR, SM, TJ",110-119
109,2025,Juneau,Medeia,7,M,Sublegal,97,114,19,18,19,18,19,19,,AGR,SYW,"AGR, SM, TJ",110-119
569,2025,St James Bay,Medeia,15,M,Sublegal,95,114,19,20,21,20,19,20,,,,,110-119
2,2025,Juneau,Medeia,3Trial,M,Sublegal,98,115,19,19,20,20,20,20,trial run (usable data though),AGR,AGR,"AGR, SM, TJ",110-119
58,2025,Juneau,Medeia,6,M,Sublegal,114,115,20,20,21,20,20,20,,AGR,SYW,"AGR, SM, TJ",110-119
77,2025,Juneau,Medeia,6,M,Sublegal,101,115,20,20,20,20,20,20,,AGR,SYW,"AGR, SM, TJ",110-119
153,2025,Juneau,Medeia,9,M,Sublegal,99,115,19,19,20,18,20,19,,TJ,SYW,"AGR, SM, TJ",110-119
165,2017,Excursion,Medeia,,M,Sublegal,100,116,21,22,21,22,21,21,,,,,110-119
30,2025,Juneau,Medeia,5,M,Sublegal,97,116,18,20,19,19,19,19,,AGR,SYW,"AGR, SM, TJ",110-119
87,2025,Juneau,Medeia,6,M,Sublegal,97,116,18,19,19,19,19,19,,AGR,SYW,"AGR, SM, TJ",110-119
96,2025,Juneau,Medeia,7,M,Sublegal,102,116,19,20,20,19,20,20,,AGR,SYW,"AGR, SM, TJ",110-119
105,2025,Juneau,Medeia,7,M,Sublegal,96,116,18,18,18,19,19,19,,AGR,SYW,"AGR, SM, TJ",110-119
112,2025,Juneau,Medeia,7,M,Sublegal,100,116,18,20,20,18,20,21,,AGR,SYW,"AGR, SM, TJ",110-119
553,2025,St James Bay,Medeia,13,M,Sublegal,97,116,19,20,20,19,19,20,,,,,110-119
18,2025,Juneau,Medeia,3,M,Sublegal,93,117,16,18,18,17,16,18,,AGR,SYW,"AGR, SM, TJ",110-119
78,2025,Juneau,Medeia,6,M,Sublegal,99,117,19,19,20,19,20,20,,AGR,SYW,"AGR, SM, TJ",110-119
115,2025,Juneau,Medeia,7,M,Sublegal,99,117,18,19,20,19,19,20,,AGR,SYW,"AGR, SM, TJ",110-119
120,2025,Juneau,Medeia,7,M,Sublegal,90,117,17,17,18,17,18,18,,AGR,SYW,"AGR, SM, TJ",110-119
121,2025,Juneau,Medeia,7,M,Sublegal,92,117,18,18,19,18,19,19,,AGR,SYW,"AGR, SM, TJ",110-119
122,2025,Juneau,Medeia,7,M,Sublegal,97,117,18,18,19,18,20,21,,AGR,SYW,"AGR, SM, TJ",110-119
